400	1.64846	4	0.01
406	1.64988	4	0.01
412	1.641	4	0.01
418	1.65131	4	0.01
424	1.65174	4	0.01
430	1.63671	4	0.01
436	1.61116	4	0.01
442	1.65069	4	0.01
448	1.64067	4	0.01
454	1.62705	4	0.01
460	1.64161	4	0.01
466	1.62626	4	0.01
472	1.64596	4	0.01
478	1.639	4	0.01
484	1.62432	4	0.01
490	1.63113	4	0.01
496	1.64396	4	0.01
502	1.62474	4	0.01
508	1.61553	4	0.01
514	1.63899	4	0.01
520	1.63041	4	0.01
526	1.63065	4	0.01
532	1.63213	4	0.01
538	1.6246	4	0.01
544	1.64027	4	0.01
550	1.62342	4	0.01
556	1.61559	4	0.01
562	1.64343	4	0.01
568	1.63209	4	0.01
574	1.63337	4	0.01
580	1.64582	4	0.01
586	1.63298	4	0.01
592	1.63104	4	0.01
598	1.63251	4	0.01
604	1.62977	4	0.01
610	1.62022	4	0.01
616	1.63042	4	0.01
622	1.60889	4	0.01
628	1.63616	4	0.01
634	1.61178	4	0.01
640	1.61243	4	0.01
646	1.62005	4	0.01
652	1.62448	4	0.01
658	1.62597	4	0.01
664	1.62802	4	0.01
670	1.62991	4	0.01
676	1.62066	4	0.01
682	1.62224	4	0.01
688	1.61912	4	0.01
694	1.60143	4	0.01
700	1.61878	4	0.01
706	1.60355	4	0.01
712	1.61903	4	0.01
718	1.60422	4	0.01
724	1.62204	4	0.01
730	1.61027	4	0.01
736	1.6125	4	0.01
742	1.61786	4	0.01
748	1.61472	4	0.01
754	1.62005	4	0.01
760	1.61991	4	0.01
766	1.6132	4	0.01
772	1.61423	4	0.01
778	1.60023	4	0.01
784	1.63215	4	0.01
790	1.60489	4	0.01
796	1.59291	4	0.01
802	1.60477	4	0.01
808	1.60041	4	0.01
814	1.60234	4	0.01
820	1.63077	4	0.01
826	1.61964	4	0.01
832	1.62972	4	0.01
838	1.60188	4	0.01
844	1.59502	4	0.01
850	1.61113	4	0.01
856	1.60398	4	0.01
862	1.60723	4	0.01
868	1.60904	4	0.01
874	1.60974	4	0.01
880	1.59624	4	0.01
886	1.61055	4	0.01
892	1.6223	4	0.01
898	1.6061	4	0.01
904	1.60992	4	0.01
910	1.6127	4	0.01
916	1.61262	4	0.01
922	1.62542	4	0.01
928	1.6109	4	0.01
934	1.60286	4	0.01
940	1.59387	4	0.01
946	1.61779	4	0.01
952	1.61299	4	0.01
958	1.60913	4	0.01
964	1.59419	4	0.01
970	1.58392	4	0.01
976	1.62073	4	0.01
982	1.61141	4	0.01
988	1.60722	4	0.01
994	1.61455	4	0.01
