0	1	0.25	0.05
0.25	0.987701	0.25	0.05
0.5	0.951106	0.25	0.05
0.75	0.891115	0.25	0.05
1	0.809204	0.25	0.05
1.25	0.707388	0.25	0.05
1.5	0.588172	0.25	0.05
1.75	0.454487	0.25	0.05
2	0.309623	0.25	0.05
2.25	0.157142	0.25	0.05
2.5	0.000796327	0.25	0.05
2.75	-0.155569	0.25	0.05
3	-0.308108	0.25	0.05
3.25	-0.453068	0.25	0.05
3.5	-0.586883	0.25	0.05
3.75	-0.706262	0.25	0.05
4	-0.808267	0.25	0.05
4.25	-0.890391	0.25	0.05
4.5	-0.950613	0.25	0.05
4.75	-0.987451	0.25	0.05
5	-0.999999	0.25	0.05
5.25	-0.987949	0.25	0.05
5.5	-0.951596	0.25	0.05
5.75	-0.891837	0.25	0.05
6	-0.810139	0.25	0.05
6.25	-0.708513	0.25	0.05
6.5	-0.589459	0.25	0.05
6.75	-0.455905	0.25	0.05
7	-0.311137	0.25	0.05
7.25	-0.158715	0.25	0.05
7.5	-0.00238898	0.25	0.05
7.75	0.153996	0.25	0.05
8	0.306592	0.25	0.05
8.25	0.451647	0.25	0.05
8.5	0.585593	0.25	0.05
8.75	0.705133	0.25	0.05
9	0.807329	0.25	0.05
9.25	0.889665	0.25	0.05
9.5	0.950117	0.25	0.05
9.75	0.987198	0.25	0.05
